"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii"
"Broken 8cmix","ADVANCED","6","2","606","122","296","91","76","21","606","595","470","406","330","252","213","197","140","101","54","9259829","658612","9599054","9064491","9161718","9174254","9272936","9181196","9310617","9260951","8995605","9352768","8932815","9319460","9329915","8939942","9453251","9686601",\N,\N
"Broken 8cmix","EXHAUST","6","3","1411","117","376","552","252","114","1410","1410","1402","1371","1332","1313","1229","1051","726","428","247","9820826","349382","9935551","9841821","9802091","9777378","9819539","9794600","9859289","9721344","9720325","9770814","9861670","9825556","9761119","9649458","9885420","9920363",\N,\N
"Broken 8cmix","HEAVENLY","6","7","1580","26","281","1153","105","15","1565","1565","1565","1565","1542","1436","1213","993","714","326","136","9713186","965193","9819159","9932803","9657766","9680749","9665244","9839927","9865433","9407220","9114983","9129543","9553473","9826942","9803734","9878588","9909089","9966909",\N,\N
"ふしぎなくすり いっきのみっくす","NOVICE","7","1","184","0","99","0","14","71","184","184","176","176","164","153","137","107","91","85","79","9738756","370611","9882275","9788359","9294532","9848359","9679600","9867724","9496552","9902998","9506173","9494949","9730590","9675191","9967665","9440035","9794892","0",\N,\N
"ふしぎなくすり いっきのみっくす","ADVANCED","7","2","339","6","206","0","91","36","339","339","329","324","252","214","158","142","127","96","73","9588690","421070","9935503","9282555","9277027","9642820","9636836","9556622","9454433","9481120","9537508","9527238","9602453","9546865","9570551","9630221","9707582","10000000",\N,\N
"ふしぎなくすり いっきのみっくす","EXHAUST","7","3","664","32","191","129","151","161","664","659","628","592","544","511","496","486","423","302","223","9703320","503761","9944036","9882240","9486614","9807686","9701225","9823844","9637203","9709751","9602114","9683857","9564899","9855742","9638806","9927813","9754432","9781136",\N,\N
"ヒマワリ MUZIK SERVANT Remix","NOVICE","8","1","140","0","64","0","28","48","140","140","140","131","126","124","106","100","75","68","62","9789767","304670","9743351","9069148","9317375","9904034","9785324","9680851","9817154","9719924","9937943","9886229","9585601","10000000","9921198","9955674","9950301","0",\N,\N
"ヒマワリ MUZIK SERVANT Remix","ADVANCED","8","2","414","115","201","9","57","32","408","408","377","334","232","188","144","134","115","83","61","9364223","637111","9628526","9611688","8952381","9474052","9464808","9055194","9489526","9533312","9229063","9166883","9374175","9352119","8998641","9556493","9486631","9713636",\N,\N
"ヒマワリ MUZIK SERVANT Remix","EXHAUST","8","3","648","19","146","75","154","254","645","645","641","622","601","564","550","529","500","437","365","9813477","728534","9887038","9897155","9900848","9842958","9868313","9953891","9425140","9860910","9757241","9815558","9898614","9851140","9860321","9728870","9778697","9639633",\N,\N
"PULSE LASER","NOVICE","9","1","135","0","12","0","36","87","135","135","130","130","129","129","123","123","109","109","103","9894877","324713","9978614","8293413","0","9953622","9979873","8652694","9570858","9812480","9953902","10000000","9921756","10000000","9836992","10000000","9913721","0",\N,\N
"PULSE LASER","ADVANCED","9","2","358","27","234","28","41","28","358","358","327","309","254","185","151","118","78","61","43","9461835","514349","9631909","9463350","9207268","9520795","9586914","9522251","8947270","9560522","9141537","9418413","9581783","9519230","9540729","9364365","9514108","9240838",\N,\N
"PULSE LASER","EXHAUST","9","3","1046","86","281","307","284","88","1046","1041","1030","968","896","840","790","680","469","272","176","9714719","407035","9893019","9584148","9612610","9686270","9753285","9719744","9576189","9654585","9545917","9528495","9742040","9712921","9709740","9750757","9796987","9576115",\N,\N
"PULSE LASER","INFINITE","9","5","977","7","121","561","151","137","977","977","976","970","922","910","862","791","642","403","255","9857196","220233","9888030","9721240","9815821","9825621","9854147","9875537","9936519","9540011","9693355","9856773","9837130","9894929","9751730","9859700","9962734","9940011",\N,\N
"バタフライキャット","NOVICE","10","1","140","0","33","5","24","78","140","140","140","139","139","134","130","129","119","94","80","9935185","145801","9972782","9564516","9991935","9994886","9961393","9538978","8919354","9938760","10000000","9998656","9948328","10000000","9841645","10000000","9948541","0",\N,\N
"バタフライキャット","ADVANCED","10","2","530","83","272","37","102","36","530","530","490","446","380","330","268","220","173","109","66","9518525","490256","9852074","9615473","9357353","9576385","9486363","9528779","9550163","9438637","9488122","9413999","9745196","9261932","9625471","9171215","9579532","9376443",\N,\N
"バタフライキャット","EXHAUST","10","3","1179","18","299","332","351","179","1174","1174","1166","1151","1103","1090","1013","901","663","470","331","9794273","659345","9870779","9892720","9638703","9876022","9841756","9665445","9548407","9698243","9762665","9870218","9823738","9834448","9845716","9740695","9765041","9962453",\N,\N
"バタフライキャット","INFINITE","10","5","1046","61","130","520","215","120","1046","1046","1041","1035","1000","982","895","824","707","476","277","9865052","202492","9935758","9771073","9680470","9866175","9871983","9795065","9946814","9699799","9711764","9847540","9875062","9838602","9862985","9772623","9957122","9990505",\N,\N
"Ha･lle･lu･jah","NOVICE","11","1","192","1","110","0","17","64","191","191","180","164","158","140","108","89","84","84","71","9609575","548165","9858031","9654510","8938666","9659192","9645264","9596928","9796250","9684828","9684039","9814459","9473431","9843250","8755016","8226487","9853743","0",\N,\N
